//char	type	Width	Filename
ᴀ	item	4	FontItemᴀ_1D00.png
一	item	8	FontItem一_4E00.png
刀	item	8	FontItem刀_5200.png
开	item	8	FontItem开_5F00.png
怀	item	8	FontItem怀_6000.png
最	item	8	FontItem最_6700.png
稀	item	8	FontItem稀_7A00.png
耀	item	8	FontItem耀_8000.png
言	item	8	FontItem言_8A00.png
退	item	8	FontItem退_9000.png
需	item	8	FontItem需_9700.png
㰀	item	8	FontItem㰀_3C00.png
䰀	item	8	FontItem䰀_4C00.png
倀	item	8	FontItem倀_5000.png
儀	item	8	FontItem儀_5100.png
匀	item	8	FontItem匀_5300.png
嘀	item	8	FontItem嘀_5600.png
圀	item	8	FontItem圀_5700.png
堀	item	8	FontItem堀_5800.png
娀	item	8	FontItem娀_5A00.png
嬀	item	8	FontItem嬀_5B00.png
崀	item	8	FontItem崀_5D00.png
愀	item	8	FontItem愀_6100.png
戀	item	8	FontItem戀_6200.png
搀	item	8	FontItem搀_6400.png
攀	item	8	FontItem攀_6500.png
昀	item	8	FontItem昀_6600.png
栀	item	8	FontItem栀_6800.png
椀	item	8	FontItem椀_6900.png
爀	item	8	FontItem爀_7200.png
琀	item	8	FontItem琀_7400.png
瘀	item	8	FontItem瘀_7600.png
砀	item	8	FontItem砀_7800.png
簀	item	8	FontItem簀_7C00.png
紀	item	8	FontItem紀_7D00.png
缀	item	8	FontItem缀_7F00.png
舀	item	8	FontItem舀_8200.png
茀	item	8	FontItem茀_8300.png
蔀	item	8	FontItem蔀_8500.png
蘀	item	8	FontItem蘀_8600.png
蜀	item	8	FontItem蜀_8700.png
謀	item	8	FontItem謀_8B00.png
谀	item	8	FontItem谀_8C00.png
輀	item	8	FontItem輀_8F00.png
鄀	item	8	FontItem鄀_9100.png
鈀	item	8	FontItem鈀_9200.png
錀	item	8	FontItem錀_9300.png
销	item	8	FontItem销_9500.png
阀	item	8	FontItem阀_9600.png
頀	item	8	FontItem頀_9800.png
、	item	5	FontItem、_3001.png
丁	item	8	FontItem丁_4E01.png
企	item	8	FontItem企_4F01.png
刁	item	8	FontItem刁_5201.png
嘁	item	8	FontItem嘁_5601.png
威	item	8	FontItem威_5A01.png
封	item	8	FontItem封_5C01.png
币	item	8	FontItem币_5E01.png
态	item	8	FontItem态_6001.png
愁	item	8	FontItem愁_6101.png
持	item	8	FontItem持_6301.png
搁	item	8	FontItem搁_6401.png
洁	item	8	FontItem洁_6D01.png
瘁	item	8	FontItem瘁_7601.png
省	item	8	FontItem省_7701.png
码	item	8	FontItem码_7801.png
老	item	8	FontItem老_8001.png
谁	item	8	FontItem谁_8C01.png
送	item	8	FontItem送_9001.png
锁	item	8	FontItem锁_9501.png
阁	item	8	FontItem阁_9601.png
！	item	4	FontItem！_FF01.png
㐁	item	8	FontItem㐁_3401.png
儁	item	8	FontItem儁_5101.png
匁	item	8	FontItem匁_5301.png
吁	item	8	FontItem吁_5401.png
唁	item	8	FontItem唁_5501.png
崁	item	8	FontItem崁_5D01.png
弁	item	8	FontItem弁_5F01.png
椁	item	8	FontItem椁_6901.png
樁	item	8	FontItem樁_6A01.png
漁	item	8	FontItem漁_6F01.png
瀁	item	8	FontItem瀁_7001.png
爁	item	8	FontItem爁_7201.png
猁	item	8	FontItem猁_7301.png
琁	item	8	FontItem琁_7401.png
甁	item	8	FontItem甁_7501.png
礁	item	8	FontItem礁_7901.png
縁	item	8	FontItem縁_7E01.png
缁	item	8	FontItem缁_7F01.png
舁	item	8	FontItem舁_8201.png
茁	item	8	FontItem茁_8301.png
萁	item	8	FontItem萁_8401.png
蠁	item	8	FontItem蠁_8801.png
訁	item	8	FontItem訁_8A01.png
謁	item	8	FontItem謁_8B01.png
鈁	item	8	FontItem鈁_9201.png
錁	item	8	FontItem錁_9301.png
霁	item	8	FontItem霁_9701.png
頁	item	8	FontItem頁_9801.png
騁	item	8	FontItem騁_9A01.png
鰁	item	8	FontItem鰁_9C01.png
。	item	5	FontItem。_3002.png
堂	item	8	FontItem堂_5802.png
市	item	8	FontItem市_5E02.png
异	item	8	FontItem异_5F02.png
挂	item	8	FontItem挂_6302.png
昂	item	8	FontItem昂_6602.png
漂	item	8	FontItem漂_6F02.png
砂	item	8	FontItem砂_7802.png
茂	item	8	FontItem茂_8302.png
适	item	8	FontItem适_9002.png
㐂	item	8	FontItem㐂_3402.png
㔂	item	8	FontItem㔂_3502.png
㨂	item	8	FontItem㨂_3A02.png
倂	item	8	FontItem倂_5002.png
儂	item	8	FontItem儂_5102.png
刂	item	8	FontItem刂_5202.png
匂	item	8	FontItem匂_5302.png
吂	item	8	FontItem吂_5402.png
唂	item	8	FontItem唂_5502.png
圂	item	8	FontItem圂_5702.png
夂	item	8	FontItem夂_5902.png
嬂	item	8	FontItem嬂_5B02.png
専	item	8	FontItem専_5C02.png
崂	item	8	FontItem崂_5D02.png
怂	item	8	FontItem怂_6002.png
搂	item	8	FontItem搂_6402.png
栂	item	8	FontItem栂_6802.png
樂	item	8	FontItem樂_6A02.png
欂	item	8	FontItem欂_6B02.png
氂	item	8	FontItem氂_6C02.png
瀂	item	8	FontItem瀂_7002.png
琂	item	8	FontItem琂_7402.png
瘂	item	8	FontItem瘂_7602.png
稂	item	8	FontItem稂_7A02.png
笂	item	8	FontItem笂_7B02.png
紂	item	8	FontItem紂_7D02.png
缂	item	8	FontItem缂_7F02.png
耂	item	8	FontItem耂_8002.png
脂	item	8	FontItem脂_8102.png
舂	item	8	FontItem舂_8202.png
蘂	item	8	FontItem蘂_8602.png
蜂	item	8	FontItem蜂_8702.png
褂	item	8	FontItem褂_8902.png
訂	item	8	FontItem訂_8A02.png
謂	item	8	FontItem謂_8B02.png
谂	item	8	FontItem谂_8C02.png
鄂	item	8	FontItem鄂_9102.png
鈂	item	8	FontItem鈂_9202.png
錂	item	8	FontItem錂_9302.png
锂	item	8	FontItem锂_9502.png
阂	item	8	FontItem阂_9602.png
霂	item	8	FontItem霂_9702.png
頂	item	8	FontItem頂_9802.png
餂	item	8	FontItem餂_9902.png
騂	item	8	FontItem騂_9A02.png
鰂	item	8	FontItem鰂_9C02.png
鴂	item	8	FontItem鴂_9D02.png
鸂	item	8	FontItem鸂_9E02.png
鼂	item	8	FontItem鼂_9F02.png
〃	item	8	FontItem〃_3003.png
七	item	8	FontItem七_4E03.png
刃	item	8	FontItem刃_5203.png
吃	item	8	FontItem吃_5403.png
布	item	8	FontItem布_5E03.png
弃	item	8	FontItem弃_5F03.png
球	item	8	FontItem球_7403.png
考	item	8	FontItem考_8003.png
范	item	8	FontItem范_8303.png
萃	item	8	FontItem萃_8403.png
调	item	8	FontItem调_8C03.png
逃	item	8	FontItem逃_9003.png
㨃	item	8	FontItem㨃_3A03.png
䐃	item	8	FontItem䐃_4403.png
伃	item	8	FontItem伃_4F03.png
圃	item	8	FontItem圃_5703.png
堃	item	8	FontItem堃_5803.png
娃	item	8	FontItem娃_5A03.png
嬃	item	8	FontItem嬃_5B03.png
崃	item	8	FontItem崃_5D03.png
怃	item	8	FontItem怃_6003.png
愃	item	8	FontItem愃_6103.png
挃	item	8	FontItem挃_6303.png
昃	item	8	FontItem昃_6603.png
會	item	8	FontItem會_6703.png
栃	item	8	FontItem栃_6803.png
猃	item	8	FontItem猃_7303.png
甃	item	8	FontItem甃_7503.png
瘃	item	8	FontItem瘃_7603.png
礃	item	8	FontItem礃_7903.png
稃	item	8	FontItem稃_7A03.png
笃	item	8	FontItem笃_7B03.png
簃	item	8	FontItem簃_7C03.png
紃	item	8	FontItem紃_7D03.png
缃	item	8	FontItem缃_7F03.png
蔃	item	8	FontItem蔃_8503.png
蜃	item	8	FontItem蜃_8703.png
蠃	item	8	FontItem蠃_8803.png
訃	item	8	FontItem訃_8A03.png
較	item	8	FontItem較_8F03.png
鄃	item	8	FontItem鄃_9103.png
鈃	item	8	FontItem鈃_9203.png
鐃	item	8	FontItem鐃_9403.png
锃	item	8	FontItem锃_9503.png
阃	item	8	FontItem阃_9603.png
頃	item	8	FontItem頃_9803.png
餃	item	8	FontItem餃_9903.png
騃	item	8	FontItem騃_9A03.png
鬃	item	8	FontItem鬃_9B03.png
鰃	item	8	FontItem鰃_9C03.png
鴃	item	8	FontItem鴃_9D03.png
ᴄ	item	4	FontItemᴄ_1D04.png
各	item	8	FontItem各_5404.png
处	item	8	FontItem处_5904.png
射	item	8	FontItem射_5C04.png
弄	item	8	FontItem弄_5F04.png
茄	item	8	FontItem茄_8304.png
㘄	item	8	FontItem㘄_3604.png
㨄	item	8	FontItem㨄_3A04.png
䈄	item	8	FontItem䈄_4204.png
丄	item	8	FontItem丄_4E04.png
億	item	8	FontItem億_5104.png
刄	item	8	FontItem刄_5204.png
匄	item	8	FontItem匄_5304.png
唄	item	8	FontItem唄_5504.png
圄	item	8	FontItem圄_5704.png
堄	item	8	FontItem堄_5804.png
娄	item	8	FontItem娄_5A04.png
崄	item	8	FontItem崄_5D04.png
怄	item	8	FontItem怄_6004.png
攄	item	8	FontItem攄_6504.png
昄	item	8	FontItem昄_6604.png
栄	item	8	FontItem栄_6804.png
椄	item	8	FontItem椄_6904.png
欄	item	8	FontItem欄_6B04.png
洄	item	8	FontItem洄_6D04.png
焄	item	8	FontItem焄_7104.png
猄	item	8	FontItem猄_7304.png
琄	item	8	FontItem琄_7404.png
甄	item	8	FontItem甄_7504.png
瘄	item	8	FontItem瘄_7604.png
眄	item	8	FontItem眄_7704.png
砄	item	8	FontItem砄_7804.png
礄	item	8	FontItem礄_7904.png
笄	item	8	FontItem笄_7B04.png
約	item	8	FontItem約_7D04.png
縄	item	8	FontItem縄_7E04.png
缄	item	8	FontItem缄_7F04.png
耄	item	8	FontItem耄_8004.png
舄	item	8	FontItem舄_8204.png
萄	item	8	FontItem萄_8404.png
蔄	item	8	FontItem蔄_8504.png
蘄	item	8	FontItem蘄_8604.png
蠄	item	8	FontItem蠄_8804.png
褄	item	8	FontItem褄_8904.png
訄	item	8	FontItem訄_8A04.png
謄	item	8	FontItem謄_8B04.png
谄	item	8	FontItem谄_8C04.png
贄	item	8	FontItem贄_8D04.png
踄	item	8	FontItem踄_8E04.png
輄	item	8	FontItem輄_8F04.png
逄	item	8	FontItem逄_9004.png
鄄	item	8	FontItem鄄_9104.png
鈄	item	8	FontItem鈄_9204.png
錄	item	8	FontItem錄_9304.png
鐄	item	8	FontItem鐄_9404.png
锄	item	8	FontItem锄_9504.png
阄	item	8	FontItem阄_9604.png
霄	item	8	FontItem霄_9704.png
餄	item	8	FontItem餄_9904.png
騄	item	8	FontItem騄_9A04.png
鰄	item	8	FontItem鰄_9C04.png
ᴅ	item	4	FontItemᴅ_1D05.png
包	item	8	FontItem包_5305.png
娅	item	8	FontItem娅_5A05.png
帅	item	8	FontItem帅_5E05.png
清	item	8	FontItem清_6E05.png
者	item	8	FontItem者_8005.png
茅	item	8	FontItem茅_8305.png
谅	item	8	FontItem谅_8C05.png
㤅	item	8	FontItem㤅_3905.png
丅	item	8	FontItem丅_4E05.png
倅	item	8	FontItem倅_5005.png
儅	item	8	FontItem儅_5105.png
唅	item	8	FontItem唅_5505.png
嘅	item	8	FontItem嘅_5605.png
堅	item	8	FontItem堅_5805.png
嬅	item	8	FontItem嬅_5B05.png
尅	item	8	FontItem尅_5C05.png
崅	item	8	FontItem崅_5D05.png
怅	item	8	FontItem怅_6005.png
搅	item	8	FontItem搅_6405.png
攅	item	8	FontItem攅_6505.png
栅	item	8	FontItem栅_6805.png
椅	item	8	FontItem椅_6905.png
樅	item	8	FontItem樅_6A05.png
欅	item	8	FontItem欅_6B05.png
氅	item	8	FontItem氅_6C05.png
洅	item	8	FontItem洅_6D05.png
瀅	item	8	FontItem瀅_7005.png
琅	item	8	FontItem琅_7405.png
甅	item	8	FontItem甅_7505.png
瘅	item	8	FontItem瘅_7605.png
礅	item	8	FontItem礅_7905.png
稅	item	8	FontItem稅_7A05.png
紅	item	8	FontItem紅_7D05.png
縅	item	8	FontItem縅_7E05.png
缅	item	8	FontItem缅_7F05.png
脅	item	8	FontItem脅_8105.png
舅	item	8	FontItem舅_8205.png
蘅	item	8	FontItem蘅_8605.png
蜅	item	8	FontItem蜅_8705.png
蠅	item	8	FontItem蠅_8805.png
謅	item	8	FontItem謅_8B05.png
贅	item	8	FontItem贅_8D05.png
踅	item	8	FontItem踅_8E05.png
輅	item	8	FontItem輅_8F05.png
逅	item	8	FontItem逅_9005.png
鄅	item	8	FontItem鄅_9105.png
鈅	item	8	FontItem鈅_9205.png
锅	item	8	FontItem锅_9505.png
阅	item	8	FontItem阅_9605.png
霅	item	8	FontItem霅_9705.png
項	item	8	FontItem項_9805.png
餅	item	8	FontItem餅_9905.png
騅	item	8	FontItem騅_9A05.png
分	item	8	FontItem分_5206.png
匆	item	8	FontItem匆_5306.png
唆	item	8	FontItem唆_5506.png
圆	item	8	FontItem圆_5706.png
堆	item	8	FontItem堆_5806.png
将	item	8	FontItem将_5C06.png
帆	item	8	FontItem帆_5E06.png
昆	item	8	FontItem昆_6606.png
漆	item	8	FontItem漆_6F06.png
爆	item	8	FontItem爆_7206.png
理	item	8	FontItem理_7406.png
缆	item	8	FontItem缆_7F06.png
脆	item	8	FontItem脆_8106.png
逆	item	8	FontItem逆_9006.png
㸆	item	8	FontItem㸆_3E06.png
㼆	item	8	FontItem㼆_3F06.png
䘆	item	8	FontItem䘆_4606.png
倆	item	8	FontItem倆_5006.png
儆	item	8	FontItem儆_5106.png
吆	item	8	FontItem吆_5406.png
嘆	item	8	FontItem嘆_5606.png
夆	item	8	FontItem夆_5906.png
娆	item	8	FontItem娆_5A06.png
崆	item	8	FontItem崆_5D06.png
弆	item	8	FontItem弆_5F06.png
怆	item	8	FontItem怆_6006.png
愆	item	8	FontItem愆_6106.png
戆	item	8	FontItem戆_6206.png
搆	item	8	FontItem搆_6406.png
攆	item	8	FontItem攆_6506.png
朆	item	8	FontItem朆_6706.png
椆	item	8	FontItem椆_6906.png
氆	item	8	FontItem氆_6C06.png
瀆	item	8	FontItem瀆_7006.png
焆	item	8	FontItem焆_7106.png
猆	item	8	FontItem猆_7306.png
瘆	item	8	FontItem瘆_7606.png
砆	item	8	FontItem砆_7806.png
礆	item	8	FontItem礆_7906.png
稆	item	8	FontItem稆_7A06.png
笆	item	8	FontItem笆_7B06.png
紆	item	8	FontItem紆_7D06.png
耆	item	8	FontItem耆_8006.png
舆	item	8	FontItem舆_8206.png
茆	item	8	FontItem茆_8306.png
萆	item	8	FontItem萆_8406.png
蔆	item	8	FontItem蔆_8506.png
蘆	item	8	FontItem蘆_8606.png
蜆	item	8	FontItem蜆_8706.png
蠆	item	8	FontItem蠆_8806.png
谆	item	8	FontItem谆_8C06.png
鄆	item	8	FontItem鄆_9106.png
錆	item	8	FontItem錆_9306.png
锆	item	8	FontItem锆_9506.png
阆	item	8	FontItem阆_9606.png
霆	item	8	FontItem霆_9706.png
順	item	8	FontItem順_9806.png
鬆	item	8	FontItem鬆_9B06.png
鰆	item	8	FontItem鰆_9C06.png
鴆	item	8	FontItem鴆_9D06.png
ᴇ	item	4	FontItemᴇ_1D07.png
万	item	8	FontItem万_4E07.png
切	item	8	FontItem切_5207.png
备	item	8	FontItem备_5907.png
娇	item	8	FontItem娇_5A07.png
崇	item	8	FontItem崇_5D07.png
指	item	8	FontItem指_6307.png
标	item	8	FontItem标_6807.png
簇	item	8	FontItem簇_7C07.png
缇	item	8	FontItem缇_7F07.png
震	item	8	FontItem震_9707.png
㠇	item	8	FontItem㠇_3807.png
儇	item	8	FontItem儇_5107.png
唇	item	8	FontItem唇_5507.png
圇	item	8	FontItem圇_5707.png
堇	item	8	FontItem堇_5807.png
將	item	8	FontItem將_5C07.png
弇	item	8	FontItem弇_5F07.png
戇	item	8	FontItem戇_6207.png
