INLINE NewClassTable,Name,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Class Relative Power,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Skl Promo Gain,Spd Promo Gain,Def Promo Gain,Res Promo Gain,CharClassAbility,CharClassAbility,CharClassAbility,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
None,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,0,65,0,0,0x02,0x00,0x00,0x1,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x1f,0x0,0x231e143c,0x190f0f,0x0,0x0,0x0,0x0
BulbasaurID,BulbasaurNameText,BulbasaurDescText,0x01,0x0,BulbasaurSMS ,0x00,0x98,0x01,17,4,4,2,2,3,4,BaseMov+1,45,30,35,25,30,35,25,3,50,30,40,20,30,35,20,17,4,4,2,2,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim1|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0810
IvysaurID,IvysaurText,BulbasaurDescText,0x02,0x0,IvysaurSMS,0x00,0x02,0x02,20,6,6,3,3,5,10,BaseMov+2,55,40,40,35,30,40,25,4,60,45,45,25,30,45,20,3,2,2,1,1,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim2|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0810
VenusaurID,VenusaurNameText,BulbasaurDescText,0x03,0x0,VenusaurSMS,0x00,0x03,0x03,24,8,9,5,5,7,15,BaseMov+2,65,45,50,40,40,50,25,5,75,50,50,30,45,55,20,4,2,3,2,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim3|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0810
CharmanderID,CharmanderNameText,CharmanderDescText,0x04,0x0,CharmanderSMS,0x00,0x04,0x04,16,5,4,4,1,2,4,BaseMov+1,40,35,35,35,20,25,25,3,45,35,40,40,20,20,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim4|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x01
CharmeleonID,CharmeleonText,CharmanderDescText,0x05,0x0,CharmeleonSMS,0x00,0x05,0x05,20,6,6,6,3,3,10,BaseMov+2,55,40,40,40,30,35,25,4,60,40,45,45,30,35,20,4,1,2,2,2,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim5|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x01
CharizardID,CharizardNameText,CharizardDescText,0x06,0x0,CharizardSMS,0x00,0x06,0x06,23,10,9,8,4,6,15,BaseMov+3,65,50,50,50,35,45,25,5,70,55,55,50,45,50,20,3,4,3,2,1,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim6|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x41
SquirtleID,SquirtleNameText,SquirtleDescText,0x07,0x0,SquirtleSMS,0x00,0x07,0x07,17,4,4,2,3,2,4,BaseMov+1,45,30,35,30,35,25,25,3,50,30,35,25,35,25,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim7|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x02
WartortleID,WartortleNameText,SquirtleDescText,0x08,0x0,WartortleSMS,0x00,0x08,0x08,20,6,6,3,5,4,10,BaseMov+2,55,40,45,35,40,40,25,4,60,40,45,25,45,45,20,3,2,2,1,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim8|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x02
BlastoiseID,BlastoiseNameText,SquirtleDescText,0x09,0x0,BlastoiseSMS,0x00,0x09,0x09,24,9,9,5,7,6,15,BaseMov+2,65,45,50,40,50,45,25,5,75,50,50,30,55,50,20,4,3,3,2,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim9|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x02
