INLINE MagCharTable,Base Magic,Magic Growth
None,0,0
Eirika,0,5
Seth,0,5
Gilliam,0,5
Franz,0,5
Moulder,0,5
Vanessa,0,5
Ross,0,5
Neimi,0,5
Colm,0,5
Garcia,0,5
Innes,0,5
Lute,0,5
Natasha,0,5
Cormag,0,5
Ephraim,0,5
Forde,0,5
Kyle,0,5
Amelia,0,5
Artur,0,5
Gerik,0,5
Tethys,0,5
Marisa,0,5
Saleh,0,5
Ewan,0,5
L'Arachel,0,5
Dozla,0,5
+AC0-0,0,5
Rennac,0,5
Duessel,0,5
Myrrh,0,5
Knoll,0,5
Joshua,0,5
Syrene,0,5
Tana,0,5
Lyon,0,5
Orson,0,5
Glen,0,5
Selena,0,5
Valter,0,5
Riev,0,5
Caellach,0,5
Fado,0,5
Ismaire,0,5
Hayden,0,5
FakeEirika,0,5
+AC0-0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
+AC0-0,0,5
+AC0-0,0,5
+AC0-0,0,5
+AC0-0,0,5
+AC0-0,0,5
+AC0-0,0,5
+AC0-0,0,5
+AC0-0,0,5
Lyon's Summon,0,5
+AC0-0,0,5
+AC0-0,0,5
Knoll's Summon,0,0
Ewan's Summon,0,0
Lyon (Ch 17),0,0
Morva (Ch 20),0,0
Orson (Ch 5x),0,0
Valter (Ch 15),0,0
Selena (Ch 10B +ACY- 13B),0,0
Valter (Prologue),0,0
Breguet (Ch 1),0,0
Bone (Ch 2),0,0
Bazba (Ch 3),0,0
Entombed (Ch 4),0,0
Saar (Ch 5),0,0
Novala (Ch 6),0,0
Murray (Ch 7),0,0
Tirado (Ch 8),0,0
Binks (Ch 9A),0,0
Pablo (Ch 10A),0,0
Maelduin (Ch 12A),0,0
Aias (Ch 13A),0,0
Carlyle (Ch 14A),0,0
Caellach (Ch 15),0,0
Pablo (Ch 13A),0,0
0,0,0
Gorgon (Ch 18),0,0
Riev (Ch 19 +ACY- 20),0,0
0,0,0
0,0,0
Gheb (Ch 9B),0,0
Beran (Ch 10B),0,0
Cyclops (Ch 12B),0,0
Wight (Ch 11A),0,0
Deathgoyle (Ch 11B),0,0
Entombed (Monster Boss),0,0
0,0,0
0,0,0
0,0,0
+AC0-0,0,0
Hunter (Ch 16),0,0
+AC0-0,0,0
Brigand,0,0
0,0,0
O'Neill (Prologue),0,0
Glen (Cutscene),0,0
Zonta (Ch 5x),0,0
Vigarde (Ch 14B),0,0
Lyon (Ch Final),0,0
Orson (Ch 16),0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Grado Soldier (Special),0,0
Grado Soldier 1 (Normal),0,0
Grado Soldier 2,0,0
Grado Soldier 3,0,0
Grado Soldier 4,0,0
Grado Soldier 5,0,0
Grado Soldier 6,0,0
Grado Soldier 7,0,0
Grado Soldier 8,0,0
Grado Soldier 9,0,0
Grado Soldier 10 (Duessel's),0,0
Grado Soldier 11 (Duessel's),0,0
Grado Soldier 12 (Duessel's),0,0
Grado Soldier 13,0,0
Grado Remnant 1 (Main),0,0
Cutthroat,0,0
Grado Remnant 2 (Cutscene and C16 only?),0,0
Grado Remnant 3 (C16 only?),0,0
Grado Remnant 4 (C16 only?),0,0
Wraith (Sage),0,0
Wraith (Swords),0,0
Wraith (Axes),0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0xa0,0,5
0,0,5
0,0,5
0,0,5
Mercenary (C9A),0,5
Mercenary (C10A),0,5
Merc Remnant (C13A),0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Monster,0,5
Demon King,0,5
0,0,5
Frelian,0,5
Frelian,0,5
0,0,5
0,0,5
0,0,5
Fado (Renais),0,5
0,0,5
Hayden (Frelia),0,5
Mansel (Rausten),0,5
Klimt (Carcino),0,5
Dara (Caer Pelyn),0,5
Ismaire (Jehanna),0,5
Pegasus Messenger,0,5
Rausten Knight,0,5
Rausten Knight,0,5
(Untested Beyond this point),0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
