INLINE ClassSkillTable,Skill
None,0x0
BulbasaurID,ChlorophyllID
IvysaurID,ChlorophyllID
VenusaurID,ChlorophyllID
CharmanderID,SolarPowerID
CharmeleonID,SolarPowerID
CharizardID,SolarPowerID
SquirtleID,ExplorerID
WartortleID,ExplorerID
BlastoiseID,ExplorerID
CaterpieID,ShedSkinID
MetapodID,ShedSkinID
ButterfreeID,TintedLensID
WeedleID,ShedSkinID
KakunaID,ShedSkinID
BeedrillID,SwarmID
PidgeyID,KeenEyeID
PidgeottoID,KeenEyeID
PidgeotID,KeenEyeID
SuspiciousWaterID,VoidCurseID 
CrobatID,0x0
RedID,VoidCurseID 
Unused4ID,0x0
RattataID,CantoPlusID
RaticateID,CantoPlusID
SpearowID,SniperID
FearowID,SniperID
EkansID,Intimidate2ID
ArbokID,Intimidate2ID
PikachuID,LightningRodID
RaichuID,LightningRodID
SandshrewID,RockyHelmetSkillID
SandslashID,RockyHelmetSkillID
NidoranFID,RivalryID
NidorinaID,RivalryID
NidoqueenID,RivalryID
NidoranMID,HustleID
NidorinoID,HustleID
NidokingID,HustleID
ClefairyID,UnawareID
ClefableID,UnawareID
VulpixID,FieryAuraID
NinetalesID,FieryAuraID
JigglypuffID,WaryFighterID
WigglytuffID,WaryFighterID
ZubatID,FlankID
GolbatID,FlankID
OddishID,ChlorophyllID
GloomID,ChlorophyllID
VileplumeID,ChlorophyllID
ParasID,SporeTouchID
ParasectID,SporeTouchID
GorgonEggID,VoidCurseID 
VenonatID,TintedLensID
VenomothID,TintedLensID
DiglettID,ArenaTrapID
DugtrioID,ArenaTrapID
MeowthID,DespoilID
PersianID,DespoilID
PsyduckID,SwiftSwimID
GolduckID,SwiftSwimID
MankeyID,RecklessFighterID
PrimeapeID,RecklessFighterID
GrowlitheID,Intimidate2ID
ArcanineID,Intimidate2ID
PoliwagID,DampAuraID
PoliwhirlID,DampAuraID
PoliwrathID,DampAuraID
AbraID,SynchronizeID
KadabraID,SynchronizeID
AlakazamID,SynchronizeID
MachopID,SteadyBrawlerID
MachokeID,SteadyBrawlerID
MachampID,SteadyBrawlerID
BellsproutID,ChlorophyllID
WeepinbellID,ChlorophyllID
VictreebelID,ChlorophyllID
TentacoolID,ClearBodyID
TentacruelID,ClearBodyID
GeodudeID,MiracleID
GravellerID,MiracleID
PhantomID,VoidCurseID 
GolemID,MiracleID
PonytaID,CantoPlusID
RapidashID,CantoPlusID
SlowpokeID,RegeneratorID
SlowbroID,RegeneratorID
MagnemiteID,AnalyticID
MagnetonID,AnalyticID
FarfetchdID,PridefulWarriorID
DoduoID,CantoPlusID
DodrioID,CantoPlusID
SeelID,HydrationID
DewgongID,HydrationID
GrimerID,PoisonTouchID
CutBushID,VoidCurseID 
RockSmashID,VoidCurseID 
StrengthBoulderID,VoidCurseID 
GorgonEgg2ID,VoidCurseID 
Unused8ID,VoidCurseID 
DeathgoyleID,VoidCurseID 
DracoZombieID,VoidCurseID 
DemonKingID,VoidCurseID 
lassID,VoidCurseID 
picnickerID,VoidCurseID 
policemanID,VoidCurseID 
prof_oakID,VoidCurseID 
rockerID,VoidCurseID 
rocket_fID,VoidCurseID 
rocket_mID,VoidCurseID 
sailorID,VoidCurseID 
scientistID,VoidCurseID 
super_nerdID,VoidCurseID 
BurrowID,VoidCurseID 
FlowerID,VoidCurseID 
BerryTreeID,VoidCurseID 
sfxID,VoidCurseID 
OpenBallID,VoidCurseID 
RedPokeballID,VoidCurseID 
GoldPokeballID,VoidCurseID 
GaryID,VoidCurseID 
PlatformID,VoidCurseID 
BlankID,VoidCurseID 
SavePointID,VoidCurseID 
BushID,VoidCurseID 
SignID,VoidCurseID 
Sign2ID,VoidCurseID 
CoinsID,VoidCurseID 
MukID,PoisonTouchID
ShellderID,FortuneID
CloysterID,FortuneID
GastlyID,GrudgeID
HaunterID,GrudgeID
GengarID,GrudgeID
OnixID,MiracleID
DrowzeeID,LilysPoiseID
HypnoID,LilysPoiseID
KrabbyID,SheerForceID
KinglerID,SheerForceID
VoltorbID,GrislyWoundID
ElectrodeID,GrislyWoundID
ExeggcuteID,HarvestID
ExeggutorID,HarvestID
CuboneID,LightningRodID
MarowakID,LightningRodID
HitmonleeID,UnburdenID
HitmonchanID,SteadyBrawlerID
LickitungID,SimpleID
KoffingID,LevitateID
WeezingID,LevitateID
RhyhornID,RecklessRockID
RhydonID,RecklessRockID
ChanseyID,AmaterasuID
TangelaID,RegeneratorID
KangaskhanID,ScrappyID
HorseaID,SniperID
SeadraID,SniperID
GoldeenID,LightningRodID
SeakingID,LightningRodID
StaryuID,NaturalCureID
StarmieID,NaturalCureID
MrMimeID,FilterID
ScytherID,TechnicianID
JynxID,DrySkinID
ElectabuzzID,MotorDriveID
MagmarID,FlashFireID
PinsirID,GuardBreakerID
TaurosID,Intimidate2ID
MagikarpID,ScaledBackID
GyaradosID,ScaledUpID
LaprasID,HydrationID
DittoID,TransformID
EeveeID,AdaptabilityID
VaporeonID,AcidArmorID
JolteonID,QuickFeetID
FlareonID,GutsID
PorygonID,DowngradeID
OmanyteID,WeakArmorID
OmastarID,WeakArmorID
KabutoID,WeakArmorID
KabutopsID,WeakArmorID
AerodactylID,StrongClawsID
SnorlaxID,HoardersBaneID
ArticunoID,PressureID
ZapdosID,PressureID
MoltresID,PressureID
DratiniID,MultiscaleID
DragonairID,MultiscaleID
DragoniteID,MultiscaleID
MewtwoID,PressureID
MewID,SynchronizeID
balding_manID,VoidCurseID 
battle_girlID,VoidCurseID 
beautyID,VoidCurseID 
billID,PassID
blackbeltID,VoidCurseID 
blueID,VoidCurseID 
boyID,VoidCurseID 
bug_catcherID,VoidCurseID 
camperID,VoidCurseID 
captainID,VoidCurseID 
channelerID,VoidCurseID 
chefID,VoidCurseID 
cooltrainer_fID,VoidCurseID 
fat_manID,VoidCurseID 
fisherID,VoidCurseID 
gentlemanID,VoidCurseID 
hikerID,VoidCurseID 
mrfujiID,VoidCurseID 
bikerID,VoidCurseID 
giovanniID,PassID
swimmer_f_land,VoidCurseID 
swimmer_f_water,VoidCurseID 
swimmer_m_land,VoidCurseID 
swimmer_m_water,VoidCurseID 
tuber_m_water,VoidCurseID 
rockID,VoidCurseID 
Unused2ID,VoidCurseID 
puddleID,VoidCurseID 
LoreleiID,PassID
BrunoID,PassID
AgathaID,PassID
LanceID,PassID
BrockID,PassID
MistyID,PassID
LtSurgeID,PassID
KogaID,PassID
ErikaID,PassID
SabrinaID,PassID
BlaineID,PassID
BrendanID,VoidCurseID 
MayID,VoidCurseID 
MomID,VoidCurseID 
NurseID,VoidCurseID 
ReceptionistID,VoidCurseID 
ClerkID,VoidCurseID 
ShedinjaID,SturdyID
SableyeID,WonderGuardID
MegaAlakazamID,0x0
MegaPidgeotID,0x0
MegaVenusaurID,0x0
MegaCharizardXID,0x0
MegaBlastoiseID,0x0
Unused69ID,0x0
MissingnoID,0x0
Unused71ID,0x0
Unused72ID,0x0
Unused73ID,0x0
Unused74ID,0x0
Unused75ID,0x0
Unused76ID,0x0
Unused77ID,0x0
Unused78ID,0x0
Unused79ID,0x0
SnagID,0x0
