Pokemon,Destination Column,Old Value,New Value,Difference
DrowzeeID,Skl,4,5,1
DrowzeeID,Res,3,5,2
DrowzeeID,Res Growth,35,45,10
DrowzeeID,Skl Cap,35,40,5
DrowzeeID,Res Cap,35,40,5
DrowzeeID,Res Promo Gain,2,4,2
HypnoID,Def,4,3,-1
HypnoID,Res,8,9,1
HypnoID,Def Growth,40,35,-5
HypnoID,Def Cap,35,30,-5
HypnoID,Skl Promo Gain,5,4,-1
HypnoID,Def Promo Gain,2,1,-1
HypnoID,Res Promo Gain,5,4,-1
KrabbyID,Def Promo Gain,1,2,1
Drowzee,Base Magic,5,7,2
Drowzee,Magic Cap,35,40,5
Drowzee,Magic Growth,35,45,10
Drowzee,Magic Promotion Bonus,3,5,2
Hypno,Base Magic,10,11,1
Hypno,Magic Cap,45,50,5
Hypno,Magic Growth,50,55,5
Hypno,Magic Promotion Bonus,5,4,-1
